Palabra: 'unknownemoji', Categoría: 'rareSymbols'
Palabra: 'bono', Categoría: 'strongSpamWord'
Palabra: 'recuperacion', Categoría: 'strongSpamWord'
Palabra: 'advertencia', Categoría: 'strongSpamWord'
Palabra: 'juego', Categoría: 'strongSpamWord'
Palabra: 'amigo', Categoría: 'strongSpamWord'
Palabra: 'formulario', Categoría: 'strongSpamWord'
Palabra: 'eliminar', Categoría: 'strongSpamWord'
Palabra: 'trampa', Categoría: 'strongSpamWord'
Palabra: 'seguro', Categoría: 'strongSpamWord'
Palabra: 'proteccion', Categoría: 'strongSpamWord'
Palabra: 'dominios', Categoría: 'strongSpamWord'
Palabra: 'planear', Categoría: 'strongSpamWord'
Palabra: 'instruccines', Categoría: 'strongSpamWord'
Palabra: 'jefe', Categoría: 'strongSpamWord'
Palabra: 'prestamo', Categoría: 'strongSpamWord'
Palabra: 'xito', Categoría: 'strongSpamWord'
Palabra: 'mejor', Categoría: 'strongSpamWord'
Palabra: 'alerta', Categoría: 'strongSpamWord'
Palabra: 'amor', Categoría: 'strongSpamWord'
Palabra: 'irrepetible', Categoría: 'strongSpamWord'
Palabra: 'blackjack', Categoría: 'strongSpamWord'
Palabra: 'premio', Categoría: 'strongSpamWord'
Palabra: 'levita', Categoría: 'strongSpamWord'
Palabra: 'millones', Categoría: 'strongSpamWord'
Palabra: 'rebajas', Categoría: 'strongSpamWord'
Palabra: 'medicamento', Categoría: 'strongSpamWord'
Palabra: 'viagra', Categoría: 'strongSpamWord'
Palabra: 'instantaneo', Categoría: 'strongSpamWord'
Palabra: 'actualizacion', Categoría: 'strongSpamWord'
Palabra: 'descuento', Categoría: 'strongSpamWord'
Palabra: 'ltimo', Categoría: 'strongSpamWord'
Palabra: 'descargar', Categoría: 'strongSpamWord'
Palabra: 'estafa', Categoría: 'strongSpamWord'
Palabra: 'espectacular', Categoría: 'strongSpamWord'
Palabra: 'prohibir', Categoría: 'strongSpamWord'
Palabra: 'llamada', Categoría: 'strongSpamWord'
Palabra: 'casino', Categoría: 'strongSpamWord'
Palabra: 'millonario', Categoría: 'strongSpamWord'
Palabra: 'bancarrota', Categoría: 'strongSpamWord'
Palabra: 'reembolso', Categoría: 'strongSpamWord'
Palabra: 'fortuna', Categoría: 'strongSpamWord'
Palabra: 'contrasea', Categoría: 'strongSpamWord'
Palabra: 'multiplique', Categoría: 'strongSpamWord'
Palabra: 'verifica', Categoría: 'strongSpamWord'
Palabra: 'notificaciones', Categoría: 'strongSpamWord'
Palabra: 'felicitaciones', Categoría: 'strongSpamWord'
Palabra: 'vacaciones', Categoría: 'strongSpamWord'
Palabra: 'revoluciona', Categoría: 'strongSpamWord'
Palabra: 'procesa', Categoría: 'strongSpamWord'
Palabra: 'credito', Categoría: 'strongSpamWord'
Palabra: 'atencion', Categoría: 'strongSpamWord'
Palabra: 'felicidades', Categoría: 'strongSpamWord'
Palabra: 'herencia', Categoría: 'strongSpamWord'
Palabra: 'encuentros', Categoría: 'strongSpamWord'
Palabra: 'irresistible', Categoría: 'strongSpamWord'
Palabra: 'publicidad', Categoría: 'strongSpamWord'
Palabra: 'certificado', Categoría: 'strongSpamWord'
Palabra: 'riqueza', Categoría: 'strongSpamWord'
Palabra: 'promocin', Categoría: 'strongSpamWord'
Palabra: 'lexcontact', Categoría: 'weakSpamWord'
Palabra: 'existencias', Categoría: 'weakSpamWord'
Palabra: 'recordatorio', Categoría: 'weakSpamWord'
Palabra: 'lexapproval', Categoría: 'weakSpamWord'
Palabra: 'aceptacion', Categoría: 'weakSpamWord'
Palabra: 'solicitud', Categoría: 'weakSpamWord'
Palabra: 'reunion', Categoría: 'weakSpamWord'
Palabra: 'evento', Categoría: 'weakSpamWord'
Palabra: 'documento', Categoría: 'weakSpamWord'
Palabra: 'actuar', Categoría: 'weakSpamWord'
Palabra: 'resultados', Categoría: 'weakSpamWord'
Palabra: 'lexspamgreetings', Categoría: 'weakSpamWord'
Palabra: 'archivo', Categoría: 'weakSpamWord'
Palabra: 'solucion', Categoría: 'weakSpamWord'
Palabra: 'actuacion', Categoría: 'weakSpamWord'
Palabra: 'gracias', Categoría: 'weakSpamWord'
Palabra: 'pendiente', Categoría: 'weakSpamWord'
Palabra: 'confirma', Categoría: 'weakSpamWord'
Palabra: 'antes', Categoría: 'weakSpamWord'
Palabra: 'completa', Categoría: 'weakSpamWord'
Palabra: 'comunicacion', Categoría: 'weakSpamWord'
Palabra: 'renovar', Categoría: 'weakSpamWord'
Palabra: 'lexincome', Categoría: 'weakSpamWord'
Palabra: 'natural', Categoría: 'weakSpamWord'
Palabra: 'revision', Categoría: 'weakSpamWord'
Palabra: 'bienvenido', Categoría: 'weakSpamWord'
Palabra: 'numsuperhigh', Categoría: 'stopWords'
Palabra: 'hamemoji', Categoría: 'stopWords'
Palabra: 'tanto', Categoría: 'stopWords'
Palabra: 'lexapologies', Categoría: 'hamIndicators'
